country_code,IT.NET.USER.P2,SP.POP.TOTL,IC.REG.PROC,IC.LGL.CRED.XQ,name,SP.URB.TOTL.IN.ZS,NY.GNP.PCAP.CD,IC.WRH.DURS,IC.TAX.TOTL.CP.ZS,IC.ELC.TIME,IC.ISV.DURS,IQ.WEF.PORT.XQ,IQ.WEF.CUST.XQ,BG.GSR.NFSV.GD.ZS,NE.CON.PRVT.PC.KD.ZG,ST.INT.ARVL,IC.BUS.EASE.XQ,NE.CON.PETC.ZS,SH.H2O.SAFE.ZS,SL.GDP.PCAP.EM.KD,IC.REG.DURS,SP.URB.GROW,IC.IMP.DURS,TX.VAL.OTHR.ZS.WT,BX.KLT.DINV.WD.GD.ZS,TX.VAL.TECH.CD,SH.STA.ACSN.UR,SP.POP.1564.TO.ZS,IC.BUS.DISC.XQ,NE.CON.PRVT.KD.ZG,FP.CPI.TOTL.ZG,IC.REG.COST.PC.ZS,IT.CEL.SETS.P2,IC.IMP.COST.CD,IC.EXP.COST.CD,Ease.Of.Doing.Business,ST.INT.ARVL.Categorical,SP.POP.TOTL.Categorical,Num.Starbucks.Stores,Num.Starbucks.Stores.Categorical,Starbucks.Store.Density,Starbucks.Store.Density.Categorical,Num.Starbucks.Stores.On.Airports,Exists.In.Multiple.Cities,Ownership.Type.Mixed,continent,MultipleBrands,KMeans_labels,DBSCAN_labels,Heirarchical_labels
US,74.55,321418820.0,6.0,11.0,United States,81.617,54960.0,80.6,43.9,89.6,1.5,5.72790978955242,4.88633307476574,6.906520734723519,2.29832425129027,75011000.0,7.0,68.3785743307682,99.2,109314.1015625,5.6,0.992929627258756,5.4,43.6964817572599,2.11419225813613,154353963992.0,100.0,66.2635851599661,7.4,3.10393100230088,0.11862713555231698,1.1,117.586744410658,1289.0,1224.0,VeryHigh,VH,VH,13486,VH,4.195771734834942,VH,184,True,True,North America,True,0,-1,3
BN,71.2,423188.0,7.0,4.0,Brunei Darussalam,77.202,25603.030303030304,119.0,8.7,56.0,2.5,4.633316158977333,4.414026663961564,14.796505782362,1.5536051901175425,201000.0,84.0,15.790712268591099,97.10735294117646,156737.59375,14.0,1.78748243112951,15.0,5.38555585476799,1.11827355665072,55449872.0,93.07391304347829,72.472281822736,4.0,2.68041430859638,-0.194426291746023,1.2,108.131115254388,770.0,705.0,Medium,VL,VL,5,L,1.1815079822679282,VH,0,True,False,Asia,False,4,-1,0
GB,92.0003,65138232.0,4.0,7.0,United Kingdom,82.59200000000001,43340.0,105.0,32.0,79.0,1.0,5.67227357004318,5.381359964791981,19.4846814803185,1.88369573425334,32613000.0,6.0,65.0563647674618,100.0,76160.71875,4.5,1.10886383851439,6.0,47.24235774176601,1.77055010073052,69340644491.0,99.1,64.4654096116544,10.0,2.71164279467533,0.0500208420171881,0.1,125.75084280623699,1050.0,1005.0,VeryHigh,VH,H,894,VH,1.3724658661291267,VH,16,True,True,Europe,False,1,-1,0
CO,55.9049725142924,48228704.0,8.0,12.0,Colombia,76.436,7130.0,73.0,69.7,102.0,1.7,3.6499939203262297,3.53789480924606,6.32103458836457,3.00361088613548,2565000.0,54.0,63.5433146573199,91.4,28119.349609375,11.0,1.27130606761885,13.0,16.565435168166303,4.08860411568039,724222055.0,85.2,68.6742214760737,9.0,3.9461365011605,5.00503065682111,7.5,115.744774275413,2470.0,2355.0,Medium,M,H,11,M,0.022807994177077618,VL,0,True,False,South America,False,2,-1,1
AT,83.9263,8611088.0,8.0,5.0,Austria,65.968,47120.0,223.0,51.7,23.0,1.1,4.01746178588202,5.08408188986224,27.844766220161,-0.419391677947615,25291000.0,21.0,53.1769164096792,100.0,87198.4765625,22.0,0.884836970481855,9.0,37.865758714444,1.53634190116866,19269819029.0,100.0,67.0332301646914,5.0,0.391014696320696,0.89656616390028,0.3,157.408263680185,1215.0,1150.0,High,VH,M,18,M,0.20903281908163057,M,1,True,True,Europe,False,4,2,0
IE,80.1224,4640703.0,4.0,7.0,Ireland,63.24100000000001,46680.0,149.5,25.9,85.0,0.4,5.32694156546342,5.662353540721692,126.93895334558701,2.94618095194087,8813000.0,17.0,44.187234010697786,97.9,103879.8984375,6.0,0.965245306284446,9.0,73.92138432425779,85.4814803011095,27633248893.0,89.1,65.079935543936,9.0,3.4696491468825696,-0.294599018003272,0.2,103.705486268251,1121.0,1160.0,High,M,M,71,H,1.5299406146008483,VH,1,True,False,Europe,False,1,1,0
NZ,88.22288881795002,4595700.0,1.0,12.0,New Zealand,86.28399999999998,40080.0,93.0,34.3,58.0,1.3,5.46662938293369,5.87797459898324,14.9651210086074,1.09480057553438,2772000.0,2.0,58.0079582193484,100.0,65439.9609375,0.5,1.9273125008761496,9.0,18.9385654664528,-0.314695049325897,600783726.0,93.07391304347829,64.9315914273209,10.0,2.6332640317614,0.22983702465524106,0.3,121.834585183696,825.0,870.0,VeryHigh,M,M,25,M,0.5439867702417477,H,0,True,False,Oceania,False,1,1,0
CY,71.7159,1165300.0,6.0,7.0,Cyprus,66.921,25930.0,617.0,24.4,137.0,1.5,4.42081545277646,4.58738410514698,74.55411681653759,1.51979417368958,2441000.0,47.0,69.6055756023413,100.0,45834.8203125,8.0,0.8577000423038709,5.0,45.38775474684901,27.1387640593163,26759530.0,100.0,70.60353557023942,8.0,0.408533100656669,-2.09699769053064,12.2,95.4003408617707,1010.0,865.0,Medium,M,VL,10,M,0.8581481163648845,H,0,True,False,Europe,False,4,0,4
GT,27.100000000275003,16342897.0,6.0,9.0,Guatemala,51.57100000000001,3590.0,158.0,37.5,39.0,3.0,3.8797778714377897,3.48100296671286,9.1520645827524,3.72792457114062,1455000.0,81.0,84.95506915537041,92.8,18030.150390625,18.5,2.91181643987516,16.0,23.479576399394894,1.79874866981389,229132333.0,77.5,58.530644842221,3.0,5.84842323876617,2.38872032839519,25.0,111.481299339149,1445.0,1355.0,Medium,L,M,7,M,0.04283206337285244,L,0,True,False,North America,False,3,-1,2
PT,68.6329,10348648.0,3.0,2.0,Portugal,63.468,20530.0,113.0,41.0,52.0,2.0,5.30474239696156,4.993646566795579,21.1057292783822,3.14404395121922,9092000.0,23.0,65.8723443934147,100.0,56078.078125,2.5,0.3810493064010301,13.0,28.845722050093197,-0.661324738335291,1902608832.0,99.6,65.1552111668212,6.0,2.6242708819250296,0.4872719272368111,2.2,110.411663924289,925.0,780.0,High,M,M,11,M,0.1062940782216189,M,2,True,False,Europe,False,4,0,4
