country_code,SH.H2O.SAFE.ZS,IC.WRH.DURS,IC.BUS.EASE.XQ,IC.REG.DURS,IQ.WEF.CUST.XQ,IC.REG.COST.PC.ZS,name,IT.CEL.SETS.P2,SH.STA.ACSN.UR,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,IQ.WEF.PORT.XQ,BX.KLT.DINV.WD.GD.ZS,IC.IMP.COST.CD,BG.GSR.NFSV.GD.ZS,NE.CON.PETC.ZS,IC.ELC.TIME,IC.BUS.DISC.XQ,NE.CON.PRVT.PC.KD.ZG,IT.NET.USER.P2,NE.CON.PRVT.KD.ZG,IC.EXP.COST.CD,IC.LGL.CRED.XQ,IC.REG.PROC,IC.IMP.DURS,FP.CPI.TOTL.ZG,SP.URB.GROW,IC.TAX.TOTL.CP.ZS,SP.POP.TOTL,TX.VAL.OTHR.ZS.WT,SP.POP.1564.TO.ZS,SL.GDP.PCAP.EM.KD,NY.GNP.PCAP.CD,IC.ISV.DURS,TX.VAL.TECH.CD,Ease.Of.Doing.Business,ST.INT.ARVL.Categorical,SP.POP.TOTL.Categorical,Num.Starbucks.Stores,Num.Starbucks.Stores.Categorical,Starbucks.Store.Density,Starbucks.Store.Density.Categorical,Num.Starbucks.Stores.On.Airports,Exists.In.Multiple.Cities,Ownership.Type.Mixed,continent,MultipleBrands
NZ,100.0,93.0,2.0,0.5,5.87797459898324,0.3,New Zealand,121.834585183696,93.0739130434783,86.28399999999998,2772000.0,5.46662938293369,-0.314695049325897,825.0,14.9651210086074,58.0079582193484,58.0,10.0,1.09480057553438,88.22288881795002,2.6332640317614,870.0,12.0,1.0,9.0,0.22983702465524106,1.9273125008761496,34.3,4595700.0,18.9385654664528,64.9315914273209,65439.9609375,40080.0,1.3,600783726.0,VeryHigh,M,M,25,M,0.5439867702417477,H,0,True,False,Oceania,False
MA,85.4,91.0,75.0,10.0,4.21691146918706,9.1,Morocco,126.872321632911,84.1,60.195,10283000.0,4.777542231764111,3.148717277933569,970.0,22.103760224429397,60.2872717402941,57.0,6.0,1.91730713354283,57.08,3.29999999999997,595.0,2.0,4.0,14.0,1.5579071134629598,2.16363582565592,49.1,34377511.0,35.18852639438521,66.6097001612479,22027.830078125,3040.0,3.5,869791832.0,Medium,H,H,8,M,0.023271027387643042,VL,1,True,False,Africa,False
GT,92.8,158.0,81.0,18.5,3.48100296671286,25.0,Guatemala,111.481299339149,77.5,51.57100000000001,1455000.0,3.8797778714377897,1.79874866981389,1445.0,9.1520645827524,84.95506915537041,39.0,3.0,3.72792457114062,27.100000000275003,5.84842323876617,1355.0,9.0,6.0,16.0,2.38872032839519,2.91181643987516,37.5,16342897.0,23.479576399394894,58.530644842221,18030.150390625,3590.0,3.0,229132333.0,Medium,L,M,7,M,0.04283206337285244,L,0,True,False,North America,False
ID,87.4,210.2,109.0,47.8,3.89725387172496,19.9,Indonesia,132.34821009376,72.3,53.742,9435000.0,3.81293197439072,1.7992283124268,646.8,6.40902620712216,55.438986462809886,79.0,10.0,3.5787248573119403,21.976067711347604,4.84429389289987,571.8,5.0,13.0,26.0,6.3631211311561,2.5990683598517794,29.7,257563815.0,37.6049551573413,67.13388369402739,21182.619140625,3440.0,1.9,4980582046.0,Low,M,VH,260,VH,0.10094585685493127,M,19,True,False,Asia,False
BH,100.0,145.0,65.0,9.0,4.9181731134358,0.8,Bahrain,185.261957188434,99.2,88.775,10452000.0,5.398831135211611,-4.53972173981947,870.0,14.633092394720302,41.0040854808297,85.0,8.0,2.0370020125126698,93.4783011354165,2.98241709325617,810.0,1.0,7.0,15.0,1.83599369733479,1.1807126498546598,13.5,1377237.0,30.3429027113236,76.11420547080859,82563.7265625,20350.0,2.5,46729049.0,Medium,H,L,20,M,1.4521828850081722,VH,0,True,False,Asia,False
AW,98.1,169.3044117647059,55.64705882352941,15.739705882352943,4.414026663961565,8.280882352941177,Aruba,135.72177997670602,97.7,41.528,1072000.0,4.633316158977334,5.21891429215097,1283.2205882352941,27.282444194690342,56.40002387696422,78.39117647058822,6.608823529411764,1.5536051901175425,88.66122693249598,2.68041430859638,1184.5985294117647,5.573529411764706,6.489705882352942,14.383823529411766,0.476485008378708,-0.171375678812568,40.336764705882366,103889.0,13.8213802435726,69.4674123343184,65623.96818273207,25603.030303030304,2.3507462686567164,1663353.0,,VL,VL,3,VL,2.8876974463128917,VH,0,True,False,South America,False
CY,100.0,617.0,47.0,8.0,4.58738410514698,12.2,Cyprus,95.4003408617707,100.0,66.921,2441000.0,4.42081545277646,27.1387640593163,1010.0,74.55411681653759,69.6055756023413,137.0,8.0,1.51979417368958,71.7159,0.408533100656669,865.0,7.0,6.0,5.0,-2.09699769053064,0.8577000423038709,24.4,1165300.0,45.38775474684901,70.60353557023942,45834.8203125,25930.0,1.5,26759530.0,Medium,M,VL,10,M,0.8581481163648845,H,0,True,False,Europe,False
CA,99.8,249.0,14.0,1.5,4.97514409372362,0.4,Canada,81.9305877629189,100.0,81.828,16537000.0,5.458973778439112,3.5913623148067897,1680.0,11.2897712068532,57.5106590671652,137.0,8.0,1.00561676145313,88.47,1.8812004341879696,1680.0,9.0,2.0,10.0,1.12524136094334,1.08089742647713,21.1,35851774.0,51.5538262627615,67.8921634982731,82523.84375,47500.0,0.8,26268767511.0,High,VH,H,1449,VH,4.0416410077783045,VH,34,True,True,North America,True
QA,100.0,57.0,68.0,8.5,5.4138656090999016,5.1,Qatar,153.586927990014,98.0,99.244,2826000.0,5.595322221488769,0.641599620768207,1050.0,27.423692769577197,21.889937189734397,90.0,5.0,3.42829334718479,92.88482645354807,6.9120348991442295,927.0,1.0,8.0,16.0,1.88358932902217,2.95786630986163,11.3,2235355.0,7.807690809210171,83.2953602447934,173966.796875,85430.0,2.8,33285.0,Medium,M,L,15,M,0.6710343547221806,H,1,True,False,Asia,False
NO,100.0,110.5,9.0,4.0,5.2637279518066915,0.9,Norway,113.577045532412,98.0,80.473,4855000.0,5.532298956977,-1.54054441403073,1140.0,22.2823556507968,42.6295795283697,66.0,7.0,0.823710627992227,96.8103,1.9755454590931296,1265.0,5.0,4.0,7.0,2.1736483195324,1.4658073989056102,39.5,5195921.0,36.9363935282231,65.6985354157875,124554.5,93820.0,0.9,4729878109.0,VeryHigh,M,M,17,M,0.3271797242490792,M,1,True,False,Europe,False
